ชื่อ,วิทยาเขต,โดเมน 
ราชวิทยาลัยจุฬาภรณ์,หลัก,https://www.cra.ac.th
ราชวิทยาลัยจุฬาภรณ์,วิทยาศาสตร์การแพทย์เจ้าฟ้าจุฬาภรณ์,https://www.pccms.ac.th
มหาวิทยาลัยนวมินทราธิราช,หลัก,https://www.pi.ac.th
มหาวิทยาลัยการกีฬาแห่งชาติ,หลัก,https://www.cra.ac.th
มหาวิทยาลัยการกีฬาแห่งชาติ,วิทยาเขตชลบุรี,http://www.tnsucbi.ac.th
มหาวิทยาลัยการกีฬาแห่งชาติ,วิทยาเขตชุมพร,http://www.tnsucbi.ac.th
มหาวิทยาลัยการกีฬาแห่งชาติ,วิทยาเขตตรัง,http://113.53.231.131/ipetrang
มหาวิทยาลัยการกีฬาแห่งชาติ,วิทยาเขตมหาสารคาม,https://www.tnsumk.ac.th
มหาวิทยาลัยการกีฬาแห่งชาติ,วิทยาเขตลำปาง,http://www.ipelp.ac.th
มหาวิทยาลัยการกีฬาแห่งชาติ,วิทยาเขตสมุทรสาคร,http://tnsuskn.ac.th
มหาวิทยาลัยการกีฬาแห่งชาติ,วิทยาเขตสุพรรณบุรี,https://tnsuspb.ac.th
มหาวิทยาลัยการกีฬาแห่งชาติ,วิทยาเขตอุดรธานี,http://www.tnsuudn.ac.th
มหาวิทยาลัยการกีฬาแห่งชาติ,วิทยาเขตกระบี่,http://www.ipekrabi.ac.th
มหาวิทยาลัยการกีฬาแห่งชาติ,วิทยาเขตชัยภูมิ,http://www.tnsuc.ac.th
มหาวิทยาลัยการกีฬาแห่งชาติ,วิทยาเขตเชียงใหม่,http://www.ipecm.ac.th
มหาวิทยาลัยการกีฬาแห่งชาติ,วิทยาเขตเพชรบูรณ์,http://www.tnsupnb.ac.th
มหาวิทยาลัยการกีฬาแห่งชาติ,วิทยาเขตยะลา,http://113.53.231.83/ipeyala/home.php
